Gene,Phosphoproteomics,Proteomics,Transcriptomics
RP11-34P13.18,0.0,0.0,0.10767801162496943
AP006222.1,0.0,0.0,0.08797905555042085
RP4-669L17.4,0.0,0.0,0.05736019119163038
RP11-206L10.17,0.0,0.0,0.09641349073360396
RP5-857K21.9,0.0,0.0,0.07622110183317304
RP5-857K21.8,0.0,0.0,0.1849766813472395
RP5-857K21.6,0.0,0.0,0.12833935755611936
RP5-857K21.7,0.0,0.0,0.09517017349902515
RP5-857K21.10,0.0,0.0,0.07653071919892006
RP5-857K21.11,0.0,0.0,0.08822351143252917
RP11-206L10.2,0.0,0.0,0.23480720998531487
RP11-206L10.9,0.0,0.0,0.18806841717447073
RP11-206L10.8,0.0,0.0,0.09844502980865472
RP11-206L10.11,0.0,0.0,0.09638826885724643
NCRNA00115,0.0,0.0,0.13280826405603513
NOC2L,0.0,0.07966824872977432,0.05607363964520668
KLHL17,0.0,0.0,0.19417946555837198
ISG15,0.0,0.06506294310920395,0.08618653803638356
AGRN,0.0,0.0,0.13035686760008494
C1orf159,0.0,0.0,0.12286894024696601
RP11-465B22.5,0.0,0.0,0.1059746183962059
SDF4,0.0,1.148580936672919,0.09904294126996814
B3GALT6,0.0,0.0,0.1287453898183368
C1QTNF12,0.0,0.0,0.08484525408181542
RP5-902P8.12,0.0,0.0,0.068132077699281
UBE2J2,0.0,0.0,0.06959528727310636
RP5-902P8.10,0.0,0.0,0.04262942521910571
SCNN1D,0.0,0.0,0.2520520299939834
ACAP3,0.0,0.0,0.1836538821582439
PUSL1,0.0,0.0,0.09748043001288974
INTS11,0.0,0.0,0.09565246237483324
RP5-890O3.9,0.0,0.0,0.08608958305127179
CPTP,0.0,0.0,0.10595932553710809
TAS1R3,0.0,0.0,0.179319616799027
DVL1,0.0,0.0,0.16707878736081574
AURKAIP1,0.0,0.0,0.07135328223600301
CCNL2,0.7514882088217784,0.0,0.18216425818887869
RP4-758J18.2,0.0,0.0,0.10126020247102008
MRPL20,0.0,0.11771866684314305,0.033778603660650365
RP4-758J18.13,0.0,0.0,0.21578272852406705
ATAD3C,0.0,0.0,0.21001168958467353
ATAD3B,0.0,0.0690639888959759,0.2734201568623918
RP5-832C2.8,0.0,0.0,0.09078284176836046
ATAD3A,0.0,0.081057166750503,0.0910615381279881
TMEM240,0.0,0.0,0.07439583956348617
SSU72,0.0,0.1152119819372356,0.026404952589522808
RP5-832C2.5,0.0,0.0,0.1356151784861241
C1orf233,0.0,0.0,0.1651515034428869
RP11-345P4.9,0.0,0.0,0.2095857062928583
